number,value,datetime_start,datetime_complete,duration,params_depth,params_iterations,params_k_features,params_l2_leaf_reg,params_learning_rate,params_random_strength,user_attrs_rmse_cv_std,state
81,0.31215078167080085,2026-06-20 00:45:25.661362,2026-06-20 00:45:33.368622,0 days 00:00:07.707260,7,649,100,0.019377087506377132,0.008110682003274755,0.00129407088891209,0.010277494287327866,COMPLETE
82,0.31206269018362043,2026-06-20 00:45:33.368834,2026-06-20 00:45:40.980539,0 days 00:00:07.611705,7,656,89,0.007924090186324948,0.011751661614847959,0.0011983854579108917,0.009109195549289625,COMPLETE
83,0.3129475984889964,2026-06-20 00:45:40.980750,2026-06-20 00:45:55.431787,0 days 00:00:14.451037,8,718,100,0.022821836764434337,0.009743754439439681,0.001966117712225737,0.010293084137145948,COMPLETE
84,0.31190122412846294,2026-06-20 00:45:55.432059,2026-06-20 00:46:02.273934,0 days 00:00:06.841875,7,575,97,0.03829667532152823,0.007268120056107846,0.0015986446707092626,0.010515085919692357,COMPLETE
85,0.3122197232151427,2026-06-20 00:46:02.274145,2026-06-20 00:46:08.245041,0 days 00:00:05.970896,6,755,94,0.18798709217987056,0.008594833915412542,0.0012524886169957166,0.01068831808399061,COMPLETE
86,0.3118916896090324,2026-06-20 00:46:08.245257,2026-06-20 00:46:16.269761,0 days 00:00:08.024504,7,682,87,0.10584792341456863,0.007631442386800567,0.0026015751959674645,0.009862979166333113,COMPLETE
87,0.3125739667344492,2026-06-20 00:46:16.269970,2026-06-20 00:46:32.058159,0 days 00:00:15.788189,8,803,97,0.0025450472271376233,0.006014129432446452,0.0010042120436623946,0.009387735383695167,COMPLETE
88,0.31185376907940404,2026-06-20 00:46:32.058421,2026-06-20 00:46:37.412793,0 days 00:00:05.354372,6,638,92,0.04380675042788391,0.011035123537691734,0.0020194597964648367,0.009931087689263528,COMPLETE
89,0.3123657984143665,2026-06-20 00:46:37.413009,2026-06-20 00:46:45.065515,0 days 00:00:07.652506,7,592,85,0.06590494967925033,0.006623239816897318,0.004027675552174843,0.010753988747555772,COMPLETE
90,0.3127146217900217,2026-06-20 00:46:45.065726,2026-06-20 00:46:53.018177,0 days 00:00:07.952451,7,615,95,0.030100364145040547,0.009136683395578818,0.001649971008836619,0.010094277725324967,COMPLETE
91,0.31191235245479965,2026-06-20 00:46:53.018390,2026-06-20 00:46:58.852264,0 days 00:00:05.833874,6,788,81,0.022862415539830868,0.008001058213033157,0.0015474506784703304,0.01043282995565639,COMPLETE
92,0.3122299576990094,2026-06-20 00:46:58.852480,2026-06-20 00:47:04.721551,0 days 00:00:05.869071,6,781,82,0.025312961603091277,0.007842390024940318,0.002753792412401529,0.010672709977135493,COMPLETE
93,0.3122553263787071,2026-06-20 00:47:04.721749,2026-06-20 00:47:08.518875,0 days 00:00:03.797126,5,709,90,0.011693588279633271,0.010085204008351693,0.0012267959149931125,0.010479432326321206,COMPLETE
94,0.31269262633883843,2026-06-20 00:47:08.519064,2026-06-20 00:47:13.132566,0 days 00:00:04.613502,5,844,79,0.005399959366008581,0.006889515557290732,0.0022529820279324464,0.010325629422374917,COMPLETE
95,0.3125308812802577,2026-06-20 00:47:13.132758,2026-06-20 00:47:19.002213,0 days 00:00:05.869455,6,669,88,0.016869215930860892,0.008386582389810297,0.0015681478775250908,0.010457293148649295,COMPLETE
96,0.31171811427514917,2026-06-20 00:47:19.002429,2026-06-20 00:47:29.051783,0 days 00:00:10.049354,7,745,98,0.1222463678681974,0.009082527953260172,0.003500703561903114,0.009771145226981953,COMPLETE
97,0.31220520229286064,2026-06-20 00:47:29.051999,2026-06-20 00:47:36.654738,0 days 00:00:07.602739,7,643,98,0.07839522780864935,0.009243951928036816,0.004898885890517364,0.009770281017512955,COMPLETE
98,0.3117195271658752,2026-06-20 00:47:36.654952,2026-06-20 00:47:45.160030,0 days 00:00:08.505078,7,748,95,0.12951328054088018,0.010868418950418863,0.0034829260088479444,0.00954820822954379,COMPLETE
99,0.3126989337253069,2026-06-20 00:47:45.160217,2026-06-20 00:47:59.896596,0 days 00:00:14.736379,8,806,94,0.2146927961414439,0.014078800470217872,0.006949736433472995,0.008294223626609103,COMPLETE
100,0.3132940342046379,2026-06-20 00:47:59.896815,2026-06-20 00:48:09.372062,0 days 00:00:09.475247,7,888,91,0.115641152716878,0.012018265350613379,0.003310097035594837,0.010043609539071926,COMPLETE
101,0.3116104223766253,2026-06-20 00:48:09.372252,2026-06-20 00:48:17.170480,0 days 00:00:07.798228,7,746,96,0.14917749915820486,0.010812284570234792,0.001934205388468836,0.00996974863758201,COMPLETE
102,0.3137670506381852,2026-06-20 00:48:17.170670,2026-06-20 00:48:24.883150,0 days 00:00:07.712480,7,745,95,0.1496721539833518,0.015626652741044876,0.004263851505638064,0.01036042496015691,COMPLETE
103,0.3126363723606874,2026-06-20 00:48:24.883380,2026-06-20 00:48:32.711451,0 days 00:00:07.828071,7,764,97,0.12683392243013702,0.011211698074423937,0.0057313771614660195,0.009717981113766108,COMPLETE
104,0.3500778088204179,2026-06-20 00:48:32.711643,2026-06-20 00:48:36.015951,0 days 00:00:03.304308,7,692,6,0.5491405693524186,0.01327202583532506,0.0021419553830319777,0.012094178822111029,COMPLETE
105,0.31209990664175996,2026-06-20 00:48:36.016103,2026-06-20 00:48:43.374205,0 days 00:00:07.358102,7,725,93,0.3157084620502638,0.009888677381196136,0.009516536412885048,0.009704076779561319,COMPLETE
106,0.31565174520420997,2026-06-20 00:48:43.374408,2026-06-20 00:48:56.292731,0 days 00:00:12.918323,8,743,90,0.1920854422049782,0.008985182800102685,2.670072761467169,0.010079095415414852,COMPLETE
107,0.31174271194428504,2026-06-20 00:48:56.292945,2026-06-20 00:49:03.692864,0 days 00:00:07.399919,7,715,99,0.061656976825914624,0.010902919840833601,0.0031786584874790073,0.009742249647387761,COMPLETE
108,0.3117787560055397,2026-06-20 00:49:03.693053,2026-06-20 00:49:11.983371,0 days 00:00:08.290318,7,819,96,0.061186780993429224,0.010651597020067894,0.0037240993723030875,0.010015927868222566,COMPLETE
109,0.3149299112689528,2026-06-20 00:49:11.983571,2026-06-20 00:49:20.892014,0 days 00:00:08.908443,7,878,99,0.06513490092358694,0.016466561520592164,0.0034289887670245186,0.00935941471557943,COMPLETE
110,0.3136022571151481,2026-06-20 00:49:20.892209,2026-06-20 00:49:29.968521,0 days 00:00:09.076312,7,914,87,0.15768582829255037,0.014015296733645074,0.008714970144228255,0.009123847974636046,COMPLETE
111,0.31209729965274724,2026-06-20 00:49:29.968694,2026-06-20 00:49:37.140651,0 days 00:00:07.171957,7,767,95,0.1054532402078494,0.010475282250052127,0.0031228736364269775,0.009985620473895273,COMPLETE
112,0.31291128682733477,2026-06-20 00:49:37.140826,2026-06-20 00:49:44.790522,0 days 00:00:07.649696,7,824,92,0.08406892162278258,0.012453771590651481,0.0024975848981500445,0.009620858370105904,COMPLETE
113,0.31284337164521364,2026-06-20 00:49:44.790697,2026-06-20 00:49:52.685895,0 days 00:00:07.895198,7,861,96,0.05686694655843943,0.011625673511760757,0.004686220681206924,0.010174727468011418,COMPLETE
